Local;Elevador_Local;Categoria;Descrição_da_Pendência;Ação_Recomendada;Responsável;Gravidade
Praia do Flamengo 116;Elevador Social 2;Fecho Eletromecânico;Fecho eletromecânico.;Recomendo a substituição do trinco do primeiro pavimento e dos demais andares, por modelo mais atual. Objetivo é aumentar a confiabilidade e disponibilidade do elevador. – verificar escopo da modernização realizada, pois os fechos do social 01 forma substituídos.;Otis/ Cliente;2
Praia do Flamengo 116;Elevador Social 2;Porta de Cabina;Porta de cabina;Melhorar ajuste de fechamento da porta de cabina.;Otis;1
Praia do Flamengo 116;Elevador Social 2;Fecho Eletromecânico;Fecho eletromecânico do 10º andar.;Item de segurança. Substituir trinco do 10° andar.;Otis;3
Praia do Flamengo 116;Elevador Social 2;Porta de Pavimento;Mola da porta de pavimento do 5º andar;Ajustar dispositivo.;Otis;1
Praia do Flamengo 116;Elevador Social 2;Fundo do Poço;Fundo do poço do elevador;Limpar e realizar a pintura do poço e marcação de segurança. Item de segurança.;Otis;1
Praia do Flamengo 116;Elevador Social 2;Guias;Guias do elevador;Verificar emendas de guia, batidas pelo percurso.;Otis;2
Praia do Flamengo 116;Elevador Social 2;Operador de Porta de Cabina;Operador de porta de cabina;Avaliar escopo de modernização do operador de porta de cabina.;Otis/ Cliente;2
Praia do Flamengo 116;Elevador de Serviço;Casa de Máquinas;Casa de máquinas elevador de serviço;Gancho da casa de máquinas sem marcação de carga e sem etiqueta de teste. Item de segurança.;Cliente;1
Praia do Flamengo 116;Elevador de Serviço;Casa de Máquinas;Quadro de força da casa de máquinas;Layout do quadro de força em conformidade com a norma. Necessário garantir que aterramento está no padrão TN-S.;Otis/ Cliente;3
Praia do Flamengo 116;Elevador de Serviço;Casa de Máquinas;Ausência da proteção da polia de tração.;Posicionar.;Otis;1
Praia do Flamengo 116;Elevador de Serviço;Máquina de Tração;Vazamento na máquina de tração;Eliminar vazamento da máquina de tração. Item de segurança.;Otis;3
Praia do Flamengo 116;Elevador de Serviço;Freio de Segurança;Ausência dos contatos de freio da máquina de tração.;Instalar contatos. Item de segurança.;Otis;3
Praia do Flamengo 116;Elevador de Serviço;Máquina de Tração;Falta de lubrificação nos mancais da máquina de tração;Substituir buchas dos mancais. Item de segurança.;Otis;3
Praia do Flamengo 116;Elevador de Serviço;Máquina de Tração;Suporte do encoder;Corrigir suporte do encoder, componente trabalhando com muita interferência.;Otis;2
Praia do Flamengo 116;Elevador de Serviço;Cabos de Tração;Cabos de tração sem equalizar;Equalizar cabos de tração, avaliar necessidade de substituição da polia de tração.;Otis;2
Praia do Flamengo 116;Elevador de Serviço;Máquina de Tração;Óleo da máquina de tração;Substituir todo óleo da caixa de redução e colar etiqueta com a data da troca e a orientação da próxima troca de óleo.;Otis;3
Praia do Flamengo 116;Elevador de Serviço;Limitador de Velocidade;Limitador de velocidade;Realizar teste de funcionamento com emissão de laudo. Item de segurança.;Otis;1
Praia do Flamengo 116;Elevador de Serviço;Iluminação;Ausência da iluminação de emergência.;Instalar. Item de segurança.;Cliente;3
Praia do Flamengo 116;Elevador de Serviço;Janela;Janela da casa de máquinas fora de norma;Regularizar.;Cliente;1
Praia do Flamengo 116;Elevador de Serviço;Cabos de Tração;Cabos de tração espelhados e enferrujados;Substituir. Item de segurança.;Otis;3
Praia do Flamengo 116;Elevador de Serviço;Laje;Laje da casa de máquinas;Verificar e reparar estrutura da laje da casa de máquinas.;Otis/ Cliente;2
Praia do Flamengo 116;Elevador de Serviço;Topo de Cabina;Topo de cabina;Realizar tratamento/ revitalização do topo de cabina.;Otis/ Cliente;2
Praia do Flamengo 116;Elevador de Serviço;Porta de Cabina;Roldana da porta de cabina desalinhada;Corrigir.;Otis;2
Praia do Flamengo 116;Elevador de Serviço;Rampa Eletromagnética;Suporte rampa eletromagnética;Corrigir urgente suporte da rampa. Item de segurança. Porca não compatível com a barra roscada.;Otis;3
Praia do Flamengo 116;Elevador de Serviço;Puxador;Puxador do 9° andar sem parafuso;Corrigir. Item de segurança.;Otis;3
Praia do Flamengo 116;Elevador de Serviço;Nivelamento;Nivelamento de parada;Corrigir e ajustar em todos os andares. Item de segurança.;Otis;3
Praia do Flamengo 116;Elevador de Serviço;Fecho Eletromecânico;Haste do trinco do 7° andar adaptado, risco alto de falha;Corrigir urgente. Item de segurança.;Otis;3
Praia do Flamengo 116;Elevador de Serviço;Porta de Pavimento;Porta de pavimento;Avaliar serviço de revitalização.;Otis/ Cliente;1
Praia do Flamengo 116;Elevador de Serviço;IPD de Pavimento;IPD de pavimento do 5° andar inoperante;Corrigir.;Otis;1
Praia do Flamengo 116;Elevador de Serviço;Fecho Eletromecânico;Fecho eletromecânico do 4º andar;Ajustar. Porta travando.;Otis;1
Praia do Flamengo 116;Elevador de Serviço;Porta de Pavimento;Porta de pavimento do 4º andar;Reparar roldana da porta de pavimento do 4° andar.;Otis;1
Praia do Flamengo 116;Elevador de Serviço;Fecho Eletromecânico;Fecho eletromecânico do 1º andar;Ajustar. Porta travando.;Otis;1
Praia do Flamengo 116;Elevador de Serviço;Painéis de Cabina;Painéis de cabina;Avaliar serviço de revitalização.;Otis/ Cliente;1
Praia do Flamengo 116;Elevador de Serviço;Guias;Guias do equipamento;Limpar. Guias com grande sujidade.;Otis;4
Praia do Flamengo 116;Elevador de Serviço;Limites Inferiores;Limites inferiores;Limites não substituídos na modernização – verificar escopo da modernização contratada.;Otis;2
Praia do Flamengo 116;Elevador de Serviço;Fundo do Poço;Fundo do poço;Limpar.;Otis;2
Praia do Flamengo 116;Elevador de Serviço;Cabo do Limitador de Velocidade;Cabo do limitador de velocidade;Cabo empenado – Substituir.;Otis;3

